fetched_at,date,home_team_id,away_team_id,odds_home,odds_draw,odds_away
2026-07-11T07:54:47+00:00,2026-07-12,ARG,SUI,1.74,3.8,6.6
2026-07-11T07:54:47+00:00,2026-07-14,FRA,ESP,2.46,3.4,3.45
2026-07-12T08:15:43+00:00,2026-07-14,FRA,ESP,2.4,3.4,3.5
2026-07-12T08:15:43+00:00,2026-07-15,ENG,ARG,2.64,3.15,3.3
2026-07-13T09:25:06+00:00,2026-07-14,FRA,ESP,2.46,3.4,3.5
2026-07-13T09:25:06+00:00,2026-07-15,ENG,ARG,2.76,3.1,3.25
2026-07-14T08:03:11+00:00,2026-07-14,FRA,ESP,2.54,3.35,3.4
2026-07-14T08:03:11+00:00,2026-07-15,ENG,ARG,2.82,3.05,3.3
2026-07-14T18:48:10+00:00,2026-07-14,FRA,ESP,2.74,3.3,3.35
2026-07-14T18:48:10+00:00,2026-07-15,ENG,ARG,2.88,3.05,3.2
2026-07-15T08:08:35+00:00,2026-07-15,ENG,ARG,2.88,3.0,3.2
2026-07-16T08:11:36+00:00,2026-07-18,FRA,ENG,2.06,4.0,3.95
2026-07-16T08:11:36+00:00,2026-07-19,ESP,ARG,2.42,3.2,3.9
